,state_code,city_code,city_name,lat,long,capital
0,52,5200050,Abadia de Goiás,-16.7573,-49.4412,False
1,31,3100104,Abadia dos Dourados,-18.4831,-47.3916,False
2,52,5200100,Abadiânia,-16.197,-48.7057,False
3,31,3100203,Abaeté,-19.1551,-45.4444,False
4,15,1500107,Abaetetuba,-1.72183,-48.8788,False
5,23,2300101,Abaiara,-7.34588,-39.0416,False
6,29,2900108,Abaíra,-13.2488,-41.6619,False
7,29,2900207,Abaré,-8.72073,-39.1162,False
8,41,4100103,Abatiá,-23.3049,-50.3133,False
9,42,4200051,Abdon Batista,-27.6126,-51.0233,False
10,15,1500131,Abel Figueiredo,-4.95333,-48.3933,False
11,42,4200101,Abelardo Luz,-26.5716,-52.3229,False
12,31,3100302,Abre Campo,-20.2996,-42.4743,False
13,26,2600054,Abreu e Lima,-7.90072,-34.8984,False
14,17,1700251,Abreulândia,-9.62101,-49.1518,False
15,31,3100401,Acaiaca,-20.359,-43.1439,False
16,21,2100055,Açailândia,-4.94714,-47.5004,False
17,29,2900306,Acajutiba,-11.6575,-38.0197,False
18,15,1500206,Acará,-1.95383,-48.1985,False
19,23,2300150,Acarape,-4.22083,-38.7055,False
20,23,2300200,Acaraú,-2.88769,-40.1183,False
21,24,2400109,Acari,-6.4282,-36.6347,False
22,22,2200053,Acauã,-8.21954,-41.0831,False
23,43,4300034,Aceguá,-31.8665,-54.1615,False
24,23,2300309,Acopiara,-6.08911,-39.448,False
25,51,5100102,Acorizal,-15.194,-56.3632,False
26,12,1200013,Acrelândia,-9.82581,-66.8972,False
27,52,5200134,Acreúna,-17.396,-50.3749,False
28,24,2400208,Açu,-5.58362,-36.914,False
29,31,3100500,Açucena,-19.0671,-42.5419,False
30,35,3500105,Adamantina,-21.682,-51.0737,False
31,52,5200159,Adelândia,-16.4127,-50.1657,False
32,35,3500204,Adolfo,-21.2325,-49.6451,False
33,41,4100202,Adrianópolis,-24.6606,-48.9922,False
34,29,2900355,Adustina,-10.5437,-38.1113,False
35,26,2600104,Afogados da Ingazeira,-7.743119999999999,-37.631,False
36,24,2400307,Afonso Bezerra,-5.492290000000001,-36.5075,False
37,32,3200102,Afonso Cláudio,-20.0778,-41.1261,False
38,21,2100105,Afonso Cunha,-4.13631,-43.3275,False
39,26,2600203,Afrânio,-8.51136,-41.0095,False
40,15,1500305,Afuá,-0.154874,-50.3861,False
41,26,2600302,Agrestina,-8.459660000000001,-35.9447,False
42,22,2200103,Agricolândia,-5.79676,-42.6664,False
43,42,4200200,Agrolândia,-27.4087,-49.821999999999996,False
44,42,4200309,Agronômica,-27.2662,-49.708,False
45,15,1500347,Água Azul do Norte,-6.79053,-50.4791,False
46,31,3100609,Água Boa,-17.9914,-42.3806,False
47,51,5100201,Água Boa,-14.050999999999998,-52.1601,False
48,22,2200202,Água Branca,-5.88856,-42.637,False
49,25,2500106,Água Branca,-7.5114399999999995,-37.6357,False
50,27,2700102,Água Branca,-9.262,-37.938,False
51,50,5000203,Água Clara,-20.4452,-52.879,False
52,31,3100708,Água Comprida,-20.0576,-48.1069,False
53,42,4200408,Água Doce,-26.9985,-51.5528,False
54,21,2100154,Água Doce do Maranhão,-2.84048,-42.1189,False
55,32,3200169,Água Doce do Norte,-18.5482,-40.9854,False
56,29,2900405,Água Fria,-11.8618,-38.7639,False
57,52,5200175,Água Fria de Goiás,-14.9778,-47.7823,False
58,52,5200209,Água Limpa,-18.0771,-48.7603,False
59,24,2400406,Água Nova,-6.20351,-38.2941,False
60,26,2600401,Água Preta,-8.70609,-35.5263,False
61,43,4300059,Água Santa,-28.1672,-52.031000000000006,False
62,35,3500303,Aguaí,-22.0572,-46.9735,False
63,31,3100807,Aguanil,-20.9439,-45.3915,False
64,26,2600500,Águas Belas,-9.11125,-37.1226,False
65,35,3500402,Águas da Prata,-21.9319,-46.7176,False
66,42,4200507,Águas de Chapecó,-27.0754,-52.9808,False
67,35,3500501,Águas de Lindóia,-22.4733,-46.6314,False
68,35,3500550,Águas de Santa Bárbara,-22.8812,-49.2421,False
69,35,3500600,Águas de São Pedro,-22.5977,-47.8734,False
70,31,3100906,Águas Formosas,-17.0802,-40.9384,False
71,42,4200556,Águas Frias,-26.8794,-52.8568,False
72,52,5200258,Águas Lindas de Goiás,-15.7617,-48.2816,False
73,42,4200606,Águas Mornas,-27.6963,-48.8243,False
74,31,3101003,Águas Vermelhas,-15.7431,-41.4571,False
75,43,4300109,Agudo,-29.6447,-53.2515,False
76,35,3500709,Agudos,-22.4694,-48.9863,False
77,41,4100301,Agudos do Sul,-25.9899,-49.3343,False
78,32,3200136,Águia Branca,-18.9846,-40.7437,False
79,25,2500205,Aguiar,-7.0918,-38.1681,False
80,17,1700301,Aguiarnópolis,-6.5540899999999995,-47.4702,False
81,31,3101102,Aimorés,-19.5007,-41.0746,False
82,29,2900603,Aiquara,-14.1269,-39.8937,False
83,23,2300408,Aiuaba,-6.571219999999999,-40.1178,False
84,31,3101201,Aiuruoca,-21.9736,-44.6042,False
85,43,4300208,Ajuricaba,-28.2342,-53.7757,False
86,31,3101300,Alagoa,-22.171,-44.6413,False
87,25,2500304,Alagoa Grande,-7.03943,-35.6206,False
88,25,2500403,Alagoa Nova,-7.05377,-35.7591,False
89,25,2500502,Alagoinha,-6.9465699999999995,-35.5332,False
90,26,2600609,Alagoinha,-8.4665,-36.7788,False
91,22,2200251,Alagoinha do Piauí,-7.0003899999999994,-40.9282,False
92,29,2900702,Alagoinhas,-12.1335,-38.4208,False
93,35,3500758,Alambari,-23.5503,-47.898,False
94,31,3101409,Albertina,-22.2018,-46.6139,False
95,21,2100204,Alcântara,-2.39574,-44.4062,False
96,23,2300507,Alcântaras,-3.5853699999999997,-40.5479,False
97,25,2500536,Alcantil,-7.736680000000001,-36.0511,False
98,50,5000252,Alcinópolis,-18.3255,-53.7042,False
99,29,2900801,Alcobaça,-17.5195,-39.2036,False
100,21,2100303,Aldeias Altas,-4.6262099999999995,-43.4689,False
101,43,4300307,Alecrim,-27.6579,-54.7649,False
102,32,3200201,Alegre,-20.758000000000003,-41.5382,False
103,43,4300406,Alegrete,-29.7902,-55.7949,False
104,22,2200277,Alegrete do Piauí,-7.241960000000001,-40.8566,False
105,43,4300455,Alegria,-27.8345,-54.0557,False
106,31,3101508,Além Paraíba,-21.8797,-42.7176,False
107,15,1500404,Alenquer,-1.94623,-54.7384,False
108,24,2400505,Alexandria,-6.40533,-38.0142,False
109,52,5200308,Alexânia,-16.0834,-48.5076,False
110,31,3101607,Alfenas,-21.4256,-45.9477,False
111,32,3200300,Alfredo Chaves,-20.6396,-40.7543,False
112,35,3500808,Alfredo Marcondes,-21.9527,-51.413999999999994,False
113,31,3101631,Alfredo Vasconcelos,-21.1535,-43.7718,False
114,42,4200705,Alfredo Wagner,-27.7001,-49.3273,False
115,25,2500577,Algodão de Jandaíra,-6.892919999999999,-36.0129,False
116,25,2500601,Alhandra,-7.4297699999999995,-34.9057,False
117,26,2600708,Aliança,-7.60398,-35.2227,False
118,17,1700350,Aliança do Tocantins,-11.3056,-48.9361,False
119,29,2900900,Almadina,-14.7089,-39.6415,False
120,17,1700400,Almas,-11.5706,-47.1792,False
121,15,1500503,Almeirim,-1.52904,-52.5788,False
122,31,3101706,Almenara,-16.1785,-40.6942,False
123,24,2400604,Almino Afonso,-6.1475,-37.7636,False
124,41,4100400,Almirante Tamandaré,-25.3188,-49.3037,False
125,43,4300471,Almirante Tamandaré do Sul,-28.1149,-52.9142,False
126,52,5200506,Aloândia,-17.7292,-49.4769,False
127,31,3101805,Alpercata,-18.974,-41.97,False
128,43,4300505,Alpestre,-27.2502,-53.0341,False
129,31,3101904,Alpinópolis,-20.8631,-46.3878,False
130,51,5100250,Alta Floresta,-9.86674,-56.0867,False
131,11,1100015,Alta Floresta D'Oeste,-11.9283,-61.9953,False
132,35,3500907,Altair,-20.5242,-49.0571,False
133,15,1500602,Altamira,-3.20407,-52.21,False
134,21,2100402,Altamira do Maranhão,-4.16598,-45.4706,False
135,41,4100459,Altamira do Paraná,-24.7983,-52.7128,False
136,23,2300606,Altaneira,-6.9983699999999995,-39.7356,False
137,31,3102001,Alterosa,-21.2488,-46.1387,False
138,26,2600807,Altinho,-8.48482,-36.0644,False
139,35,3501004,Altinópolis,-21.0214,-47.3712,False
140,35,3501103,Alto Alegre,-21.5811,-50.168,False
141,14,1400050,Alto Alegre,2.98858,-61.3072,False
142,43,4300554,Alto Alegre,-28.7769,-52.9893,False
143,21,2100436,Alto Alegre do Maranhão,-4.213,-44.446000000000005,False
144,21,2100477,Alto Alegre do Pindaré,-3.66689,-45.8421,False
