,date,case,count
0,2020-02-25,active,0
1,2020-02-26,active,1
2,2020-02-27,active,1
3,2020-02-28,active,1
4,2020-02-29,active,2
5,2020-03-01,active,2
6,2020-03-02,active,2
7,2020-03-03,active,2
8,2020-03-04,active,3
9,2020-03-05,active,7
10,2020-03-06,active,13
11,2020-03-07,active,19
12,2020-03-08,active,25
13,2020-03-09,active,25
14,2020-03-10,active,34
15,2020-03-11,active,52
16,2020-03-12,active,77
17,2020-03-13,active,98
18,2020-03-14,active,121
19,2020-03-15,active,200
20,2020-03-16,active,234
21,2020-03-17,active,290
22,2020-03-18,active,424
23,2020-03-19,active,615
24,2020-03-20,active,893
25,2020-03-21,active,1110
26,2020-03-22,active,1521
27,2020-03-23,active,1857
28,2020-03-24,active,2155
29,2020-03-25,active,2376
30,2020-03-26,active,2838
31,2020-03-27,active,3325
32,2020-03-28,active,3789
33,2020-03-29,active,4120
34,2020-03-30,active,4420
35,2020-03-31,active,5516
36,2020-04-01,active,6593
37,2020-04-02,active,7611
38,2020-04-03,active,8697
39,2020-04-04,active,9846
40,2020-04-05,active,10644
41,2020-04-06,active,11503
42,2020-04-07,active,13050
43,2020-04-08,active,15127
44,2020-04-09,active,16916
45,2020-04-10,active,18582
46,2020-04-11,active,19603
47,2020-04-12,active,20946
48,2020-04-13,active,22102
49,2020-04-14,active,23730
50,2020-04-15,active,26584
51,2020-04-16,active,28501
52,2020-04-17,active,31541
53,2020-04-18,active,34252
54,2020-04-19,active,14062
55,2020-04-20,active,15015
56,2020-04-21,active,16013
57,2020-04-22,active,17533
58,2020-04-23,active,19606
59,2020-04-24,active,21670
60,2020-04-25,active,25333
61,2020-04-26,active,27531
62,2020-04-27,active,30816
63,2020-04-28,active,34325
64,2020-04-29,active,38564
65,2020-04-30,active,43544
66,2020-05-01,active,46931
67,2020-05-02,active,48735
68,2020-05-03,active,51131
69,2020-05-04,active,55273
70,2020-05-05,active,58573
71,2020-05-06,active,65313
72,2020-05-07,active,70610
73,2020-05-08,active,76136
74,2020-05-09,active,83627
75,2020-05-10,active,86619
76,2020-05-11,active,89428
77,2020-05-12,active,92592
78,2020-05-13,active,97401
79,2020-05-14,active,109446
80,2020-05-15,active,118436
81,2020-05-16,active,127837
82,2020-05-17,active,130840
83,2020-05-18,active,136969
84,2020-05-19,active,146863
85,2020-05-20,active,156037
86,2020-05-21,active,164080
87,2020-05-22,active,174414
88,2020-05-23,active,182798
89,2020-05-24,active,190634
90,2020-05-25,active,197592
91,2020-05-26,active,208117
92,2020-05-27,active,219576
93,2020-05-28,active,233880
94,2020-05-29,active,247812
95,2020-05-30,active,268714
96,2020-05-31,active,278331
97,2020-06-01,active,285430
98,2020-06-02,active,300546
99,2020-06-03,active,312851
100,2020-06-04,active,325957
101,2020-06-05,active,343805
102,2020-06-06,active,359767
103,2020-06-07,active,371351
104,2020-06-08,active,380238
105,2020-06-09,active,390033
106,2020-06-10,active,407341
107,2020-06-11,active,416314
108,2020-06-12,active,421919
109,2020-06-13,active,428549
110,2020-06-14,active,435800
111,2020-06-15,active,432060
112,2020-06-16,active,436219
113,2020-06-17,active,445393
114,2020-06-18,active,448292
115,2020-06-19,active,476759
116,2020-06-20,active,496869
117,2020-06-21,active,485035
118,2020-06-22,active,483550
119,2020-06-23,active,479916
120,2020-06-24,active,484893
121,2020-06-25,active,499414
122,2020-06-26,active,521487
123,2020-06-27,active,540692
124,2020-06-28,active,552673
125,2020-06-29,active,552419
126,2020-06-30,active,552407
127,2020-07-01,active,561255
128,2020-07-02,active,582158
129,2020-07-03,active,607535
130,2020-07-04,active,636380
131,2020-07-05,active,631902
132,2020-07-06,active,630505
133,2020-07-07,active,624871
134,2020-07-08,active,624295
135,2020-07-09,active,632552
136,2020-07-10,active,651666
137,2020-07-11,active,667508
138,2020-07-12,active,669377
139,2020-07-13,active,657297
140,2020-07-14,active,643483
141,2020-07-15,active,635818
142,2020-07-16,active,639135
143,2020-07-17,active,647441
144,2020-07-18,active,653726
145,2020-07-19,active,647672
146,2020-07-20,active,1425921
147,2020-07-21,active,612197
148,2020-07-22,active,612605
149,2020-07-23,active,633156
150,2020-07-24,active,665847
151,2020-07-25,active,690584
152,2020-07-26,active,697813
153,2020-07-27,active,687090
154,2020-07-28,active,673092
155,2020-07-29,active,675378
156,2020-07-30,active,694744
157,2020-07-31,active,725959
158,2020-08-01,active,748585
159,2020-08-02,active,755896
160,2020-08-03,active,743334
161,2020-08-04,active,735335
162,2020-08-05,active,739720
163,2020-08-06,active,732803
164,2020-08-07,active,794476
165,2020-08-08,active,817642
166,2020-08-09,active,815913
167,2020-08-10,active,791906
168,2020-08-11,active,763480
169,2020-08-12,active,751107
170,2020-08-13,active,762773
171,2020-08-14,active,784695
