,date,case,count
0,2020-02-25,monitoring,0
1,2020-02-26,monitoring,0
2,2020-02-27,monitoring,0
3,2020-02-28,monitoring,0
4,2020-02-29,monitoring,0
5,2020-03-01,monitoring,0
6,2020-03-02,monitoring,0
7,2020-03-03,monitoring,0
8,2020-03-04,monitoring,0
9,2020-03-05,monitoring,0
10,2020-03-06,monitoring,0
11,2020-03-07,monitoring,0
12,2020-03-08,monitoring,0
13,2020-03-09,monitoring,0
14,2020-03-10,monitoring,0
15,2020-03-11,monitoring,0
16,2020-03-12,monitoring,0
17,2020-03-13,monitoring,0
18,2020-03-14,monitoring,0
19,2020-03-15,monitoring,0
20,2020-03-16,monitoring,0
21,2020-03-17,monitoring,0
22,2020-03-18,monitoring,0
23,2020-03-19,monitoring,0
24,2020-03-20,monitoring,0
25,2020-03-21,monitoring,0
26,2020-03-22,monitoring,0
27,2020-03-23,monitoring,0
28,2020-03-24,monitoring,0
29,2020-03-25,monitoring,0
30,2020-03-26,monitoring,0
31,2020-03-27,monitoring,0
32,2020-03-28,monitoring,0
33,2020-03-29,monitoring,0
34,2020-03-30,monitoring,0
35,2020-03-31,monitoring,0
36,2020-04-01,monitoring,0
37,2020-04-02,monitoring,0
38,2020-04-03,monitoring,0
39,2020-04-04,monitoring,0
40,2020-04-05,monitoring,0
41,2020-04-06,monitoring,0
42,2020-04-07,monitoring,0
43,2020-04-08,monitoring,0
44,2020-04-09,monitoring,0
45,2020-04-10,monitoring,0
46,2020-04-11,monitoring,0
47,2020-04-12,monitoring,0
48,2020-04-13,monitoring,0
49,2020-04-14,monitoring,0
50,2020-04-15,monitoring,0
51,2020-04-16,monitoring,0
52,2020-04-17,monitoring,0
53,2020-04-18,monitoring,0
54,2020-04-19,monitoring,14062
55,2020-04-20,monitoring,15015
56,2020-04-21,monitoring,16013
57,2020-04-22,monitoring,17533
58,2020-04-23,monitoring,19606
59,2020-04-24,monitoring,21670
60,2020-04-25,monitoring,25333
61,2020-04-26,monitoring,27531
62,2020-04-27,monitoring,30816
63,2020-04-28,monitoring,34325
64,2020-04-29,monitoring,38564
65,2020-04-30,monitoring,43544
66,2020-05-01,monitoring,47221
67,2020-05-02,monitoring,48872
68,2020-05-03,monitoring,51131
69,2020-05-04,monitoring,55273
70,2020-05-05,monitoring,58573
71,2020-05-06,monitoring,65312
72,2020-05-07,monitoring,70610
73,2020-05-08,monitoring,76134
74,2020-05-09,monitoring,83627
75,2020-05-10,monitoring,86619
76,2020-05-11,monitoring,89429
77,2020-05-12,monitoring,92593
78,2020-05-13,monitoring,97402
79,2020-05-14,monitoring,109446
80,2020-05-15,monitoring,118436
81,2020-05-16,monitoring,127837
82,2020-05-17,monitoring,130840
83,2020-05-18,monitoring,136969
84,2020-05-19,monitoring,146863
85,2020-05-20,monitoring,156037
86,2020-05-21,monitoring,164080
87,2020-05-22,monitoring,174412
88,2020-05-23,monitoring,182798
89,2020-05-24,monitoring,190634
90,2020-05-25,monitoring,197592
91,2020-05-26,monitoring,208117
92,2020-05-27,monitoring,219576
93,2020-05-28,monitoring,233880
94,2020-05-29,monitoring,247812
95,2020-05-30,monitoring,268714
96,2020-05-31,monitoring,278331
97,2020-06-01,monitoring,285430
98,2020-06-02,monitoring,300546
99,2020-06-03,monitoring,312851
100,2020-06-04,monitoring,325957
101,2020-06-05,monitoring,343805
102,2020-06-06,monitoring,359767
103,2020-06-07,monitoring,371351
104,2020-06-08,monitoring,380238
105,2020-06-09,monitoring,390033
106,2020-06-10,monitoring,407341
107,2020-06-11,monitoring,416314
108,2020-06-12,monitoring,421919
109,2020-06-13,monitoring,428549
110,2020-06-14,monitoring,435800
111,2020-06-15,monitoring,432060
112,2020-06-16,monitoring,436219
113,2020-06-17,monitoring,445393
114,2020-06-18,monitoring,448292
115,2020-06-19,monitoring,476759
116,2020-06-20,monitoring,496869
117,2020-06-21,monitoring,485035
118,2020-06-22,monitoring,483550
119,2020-06-23,monitoring,479916
120,2020-06-24,monitoring,484893
121,2020-06-25,monitoring,499414
122,2020-06-26,monitoring,521487
123,2020-06-27,monitoring,540692
124,2020-06-28,monitoring,552673
125,2020-06-29,monitoring,552419
126,2020-06-30,monitoring,552407
127,2020-07-01,monitoring,561255
128,2020-07-02,monitoring,582158
129,2020-07-03,monitoring,607535
130,2020-07-04,monitoring,636380
131,2020-07-05,monitoring,631902
132,2020-07-06,monitoring,630505
133,2020-07-07,monitoring,624871
134,2020-07-08,monitoring,624295
135,2020-07-09,monitoring,632552
136,2020-07-10,monitoring,651666
137,2020-07-11,monitoring,667508
138,2020-07-12,monitoring,669377
139,2020-07-13,monitoring,657297
140,2020-07-14,monitoring,643483
141,2020-07-15,monitoring,635818
142,2020-07-16,monitoring,639135
143,2020-07-17,monitoring,647441
144,2020-07-18,monitoring,653726
145,2020-07-19,monitoring,647672
146,2020-07-20,monitoring,629324
147,2020-07-21,monitoring,612197
148,2020-07-22,monitoring,612605
149,2020-07-23,monitoring,633156
150,2020-07-24,monitoring,665847
151,2020-07-25,monitoring,690584
152,2020-07-26,monitoring,697813
153,2020-07-27,monitoring,687090
154,2020-07-28,monitoring,673092
155,2020-07-29,monitoring,675378
156,2020-07-30,monitoring,694744
157,2020-07-31,monitoring,725959
158,2020-08-01,monitoring,748585
159,2020-08-02,monitoring,755896
160,2020-08-03,monitoring,743334
161,2020-08-04,monitoring,735335
162,2020-08-05,monitoring,741180
163,2020-08-06,monitoring,781954
164,2020-08-07,monitoring,794476
165,2020-08-08,monitoring,817642
166,2020-08-09,monitoring,815913
167,2020-08-10,monitoring,791906
168,2020-08-11,monitoring,763480
169,2020-08-12,monitoring,751107
170,2020-08-13,monitoring,762773
171,2020-08-14,monitoring,784695
