,date,case,count
0,2020-02-25,deaths,0
1,2020-02-26,deaths,0
2,2020-02-27,deaths,0
3,2020-02-28,deaths,0
4,2020-02-29,deaths,0
5,2020-03-01,deaths,0
6,2020-03-02,deaths,0
7,2020-03-03,deaths,0
8,2020-03-04,deaths,0
9,2020-03-05,deaths,0
10,2020-03-06,deaths,0
11,2020-03-07,deaths,0
12,2020-03-08,deaths,0
13,2020-03-09,deaths,0
14,2020-03-10,deaths,0
15,2020-03-11,deaths,0
16,2020-03-12,deaths,0
17,2020-03-13,deaths,0
18,2020-03-14,deaths,0
19,2020-03-15,deaths,0
20,2020-03-16,deaths,0
21,2020-03-17,deaths,1
22,2020-03-18,deaths,4
23,2020-03-19,deaths,6
24,2020-03-20,deaths,11
25,2020-03-21,deaths,18
26,2020-03-22,deaths,25
27,2020-03-23,deaths,34
28,2020-03-24,deaths,46
29,2020-03-25,deaths,57
30,2020-03-26,deaths,77
31,2020-03-27,deaths,92
32,2020-03-28,deaths,114
33,2020-03-29,deaths,136
34,2020-03-30,deaths,159
35,2020-03-31,deaths,201
36,2020-04-01,deaths,241
37,2020-04-02,deaths,299
38,2020-04-03,deaths,359
39,2020-04-04,deaths,432
40,2020-04-05,deaths,486
41,2020-04-06,deaths,553
42,2020-04-07,deaths,667
43,2020-04-08,deaths,800
44,2020-04-09,deaths,941
45,2020-04-10,deaths,1056
46,2020-04-11,deaths,1124
47,2020-04-12,deaths,1223
48,2020-04-13,deaths,1328
49,2020-04-14,deaths,1532
50,2020-04-15,deaths,1736
51,2020-04-16,deaths,1924
52,2020-04-17,deaths,2141
53,2020-04-18,deaths,2347
54,2020-04-19,deaths,2462
55,2020-04-20,deaths,2575
56,2020-04-21,deaths,2741
57,2020-04-22,deaths,2906
58,2020-04-23,deaths,3313
59,2020-04-24,deaths,3670
60,2020-04-25,deaths,4016
61,2020-04-26,deaths,4205
62,2020-04-27,deaths,4543
63,2020-04-28,deaths,5017
64,2020-04-29,deaths,5466
65,2020-04-30,deaths,5901
66,2020-05-01,deaths,6329
67,2020-05-02,deaths,6724
68,2020-05-03,deaths,7025
69,2020-05-04,deaths,7321
70,2020-05-05,deaths,7921
71,2020-05-06,deaths,8535
72,2020-05-07,deaths,9146
73,2020-05-08,deaths,9895
74,2020-05-09,deaths,10627
75,2020-05-10,deaths,11123
76,2020-05-11,deaths,11519
77,2020-05-12,deaths,12400
78,2020-05-13,deaths,13149
79,2020-05-14,deaths,13993
80,2020-05-15,deaths,14817
81,2020-05-16,deaths,15633
82,2020-05-17,deaths,16118
83,2020-05-18,deaths,16792
84,2020-05-19,deaths,17971
85,2020-05-20,deaths,18859
86,2020-05-21,deaths,20047
87,2020-05-22,deaths,21046
88,2020-05-23,deaths,22013
89,2020-05-24,deaths,22666
90,2020-05-25,deaths,23473
91,2020-05-26,deaths,24512
92,2020-05-27,deaths,25598
93,2020-05-28,deaths,26754
94,2020-05-29,deaths,27878
95,2020-05-30,deaths,28834
96,2020-05-31,deaths,29314
97,2020-06-01,deaths,29937
98,2020-06-02,deaths,31199
99,2020-06-03,deaths,32548
100,2020-06-04,deaths,34021
101,2020-06-05,deaths,35026
102,2020-06-06,deaths,35930
103,2020-06-07,deaths,36455
104,2020-06-08,deaths,37134
105,2020-06-09,deaths,38406
106,2020-06-10,deaths,39680
107,2020-06-11,deaths,40919
108,2020-06-12,deaths,41828
109,2020-06-13,deaths,42720
110,2020-06-14,deaths,43332
111,2020-06-15,deaths,43959
112,2020-06-16,deaths,45241
113,2020-06-17,deaths,46510
114,2020-06-18,deaths,47748
115,2020-06-19,deaths,48954
116,2020-06-20,deaths,49976
117,2020-06-21,deaths,50617
118,2020-06-22,deaths,51271
119,2020-06-23,deaths,52645
120,2020-06-24,deaths,53830
121,2020-06-25,deaths,54971
122,2020-06-26,deaths,55961
123,2020-06-27,deaths,57070
124,2020-06-28,deaths,57622
125,2020-06-29,deaths,58314
126,2020-06-30,deaths,59594
127,2020-07-01,deaths,60632
128,2020-07-02,deaths,61884
129,2020-07-03,deaths,63174
130,2020-07-04,deaths,64265
131,2020-07-05,deaths,64867
132,2020-07-06,deaths,65487
133,2020-07-07,deaths,66741
134,2020-07-08,deaths,67964
135,2020-07-09,deaths,69184
136,2020-07-10,deaths,70398
137,2020-07-11,deaths,71469
138,2020-07-12,deaths,72100
139,2020-07-13,deaths,72833
140,2020-07-14,deaths,74133
141,2020-07-15,deaths,75366
142,2020-07-16,deaths,76688
143,2020-07-17,deaths,77851
144,2020-07-18,deaths,78772
145,2020-07-19,deaths,79488
146,2020-07-20,deaths,80120
147,2020-07-21,deaths,81487
148,2020-07-22,deaths,82771
149,2020-07-23,deaths,84082
150,2020-07-24,deaths,85238
151,2020-07-25,deaths,86449
152,2020-07-26,deaths,87004
153,2020-07-27,deaths,87618
154,2020-07-28,deaths,88539
155,2020-07-29,deaths,90134
156,2020-07-30,deaths,91263
157,2020-07-31,deaths,92475
158,2020-08-01,deaths,93563
159,2020-08-02,deaths,94104
160,2020-08-03,deaths,94665
161,2020-08-04,deaths,95819
162,2020-08-05,deaths,97240
163,2020-08-06,deaths,98493
164,2020-08-07,deaths,99572
165,2020-08-08,deaths,100477
166,2020-08-09,deaths,101049
167,2020-08-10,deaths,101752
168,2020-08-11,deaths,103026
169,2020-08-12,deaths,104201
170,2020-08-13,deaths,105463
171,2020-08-14,deaths,106523
