,date,case,count
0,2020-02-25,recovered,0
1,2020-02-26,recovered,0
2,2020-02-27,recovered,0
3,2020-02-28,recovered,0
4,2020-02-29,recovered,0
5,2020-03-01,recovered,0
6,2020-03-02,recovered,0
7,2020-03-03,recovered,0
8,2020-03-04,recovered,0
9,2020-03-05,recovered,0
10,2020-03-06,recovered,0
11,2020-03-07,recovered,0
12,2020-03-08,recovered,0
13,2020-03-09,recovered,0
14,2020-03-10,recovered,0
15,2020-03-11,recovered,0
16,2020-03-12,recovered,0
17,2020-03-13,recovered,0
18,2020-03-14,recovered,0
19,2020-03-15,recovered,0
20,2020-03-16,recovered,0
21,2020-03-17,recovered,0
22,2020-03-18,recovered,0
23,2020-03-19,recovered,0
24,2020-03-20,recovered,0
25,2020-03-21,recovered,0
26,2020-03-22,recovered,0
27,2020-03-23,recovered,0
28,2020-03-24,recovered,0
29,2020-03-25,recovered,0
30,2020-03-26,recovered,0
31,2020-03-27,recovered,0
32,2020-03-28,recovered,0
33,2020-03-29,recovered,0
34,2020-03-30,recovered,0
35,2020-03-31,recovered,0
36,2020-04-01,recovered,0
37,2020-04-02,recovered,0
38,2020-04-03,recovered,0
39,2020-04-04,recovered,0
40,2020-04-05,recovered,0
41,2020-04-06,recovered,0
42,2020-04-07,recovered,0
43,2020-04-08,recovered,0
44,2020-04-09,recovered,0
45,2020-04-10,recovered,0
46,2020-04-11,recovered,0
47,2020-04-12,recovered,0
48,2020-04-13,recovered,0
49,2020-04-14,recovered,0
50,2020-04-15,recovered,0
51,2020-04-16,recovered,0
52,2020-04-17,recovered,0
53,2020-04-18,recovered,0
54,2020-04-19,recovered,22130
55,2020-04-20,recovered,22991
56,2020-04-21,recovered,24325
57,2020-04-22,recovered,25318
58,2020-04-23,recovered,26573
59,2020-04-24,recovered,27655
60,2020-04-25,recovered,29160
61,2020-04-26,recovered,30152
62,2020-04-27,recovered,31142
63,2020-04-28,recovered,32544
64,2020-04-29,recovered,34132
65,2020-04-30,recovered,35935
66,2020-05-01,recovered,38039
67,2020-05-02,recovered,40937
68,2020-05-03,recovered,42991
69,2020-05-04,recovered,45186
70,2020-05-05,recovered,48221
71,2020-05-06,recovered,51370
72,2020-05-07,recovered,55350
73,2020-05-08,recovered,59297
74,2020-05-09,recovered,61685
75,2020-05-10,recovered,64957
76,2020-05-11,recovered,67384
77,2020-05-12,recovered,72597
78,2020-05-13,recovered,78424
79,2020-05-14,recovered,79479
80,2020-05-15,recovered,84970
81,2020-05-16,recovered,89672
82,2020-05-17,recovered,94122
83,2020-05-18,recovered,100459
84,2020-05-19,recovered,106794
85,2020-05-20,recovered,116683
86,2020-05-21,recovered,125960
87,2020-05-22,recovered,135430
88,2020-05-23,recovered,142587
89,2020-05-24,recovered,149911
90,2020-05-25,recovered,153833
91,2020-05-26,recovered,158593
92,2020-05-27,recovered,166647
93,2020-05-28,recovered,177604
94,2020-05-29,recovered,189476
95,2020-05-30,recovered,200892
96,2020-05-31,recovered,206555
97,2020-06-01,recovered,211080
98,2020-06-02,recovered,223638
99,2020-06-03,recovered,238617
100,2020-06-04,recovered,254963
101,2020-06-05,recovered,266940
102,2020-06-06,recovered,277149
103,2020-06-07,recovered,283952
104,2020-06-08,recovered,290040
105,2020-06-09,recovered,311064
106,2020-06-10,recovered,325395
107,2020-06-11,recovered,345595
108,2020-06-12,recovered,365063
109,2020-06-13,recovered,379245
110,2020-06-14,recovered,388492
111,2020-06-15,recovered,412252
112,2020-06-16,recovered,441729
113,2020-06-17,recovered,463474
114,2020-06-18,recovered,482102
115,2020-06-19,recovered,507200
116,2020-06-20,recovered,520734
117,2020-06-21,recovered,549386
118,2020-06-22,recovered,571649
119,2020-06-23,recovered,613345
120,2020-06-24,recovered,649908
121,2020-06-25,recovered,673729
122,2020-06-26,recovered,697526
123,2020-06-27,recovered,715905
124,2020-06-28,recovered,733848
125,2020-06-29,recovered,757462
126,2020-06-30,recovered,790040
127,2020-07-01,recovered,826866
128,2020-07-02,recovered,852816
129,2020-07-03,recovered,868372
130,2020-07-04,recovered,876359
131,2020-07-05,recovered,906286
132,2020-07-06,recovered,927292
133,2020-07-07,recovered,976977
134,2020-07-08,recovered,1020901
135,2020-07-09,recovered,1054043
136,2020-07-10,recovered,1078763
137,2020-07-11,recovered,1100873
138,2020-07-12,recovered,1123204
139,2020-07-13,recovered,1154837
140,2020-07-14,recovered,1209208
141,2020-07-15,recovered,1255564
142,2020-07-16,recovered,1296328
143,2020-07-17,recovered,1321036
144,2020-07-18,recovered,1342362
145,2020-07-19,recovered,1371229
146,2020-07-20,recovered,612605
147,2020-07-21,recovered,1465970
148,2020-07-22,recovered,1532138
149,2020-07-23,recovered,1570237
150,2020-07-24,recovered,1592281
151,2020-07-25,recovered,1617480
152,2020-07-26,recovered,1634274
153,2020-07-27,recovered,1667667
154,2020-07-28,recovered,1721560
155,2020-07-29,recovered,1786753
156,2020-07-30,recovered,1824095
157,2020-07-31,recovered,1844051
158,2020-08-01,recovered,1865729
159,2020-08-02,recovered,1883677
160,2020-08-03,recovered,1912319
161,2020-08-04,recovered,1970767
162,2020-08-05,recovered,2020637
163,2020-08-06,recovered,2080916
164,2020-08-07,recovered,2068394
165,2020-08-08,recovered,2094293
166,2020-08-09,recovered,2118460
167,2020-08-10,recovered,2163812
168,2020-08-11,recovered,2243124
169,2020-08-12,recovered,2309477
170,2020-08-13,recovered,2356640
171,2020-08-14,recovered,2384302
