,date,count
0,2020-02-25,0
1,2020-02-26,1
2,2020-02-27,1
3,2020-02-28,1
4,2020-02-29,2
5,2020-03-01,2
6,2020-03-02,2
7,2020-03-03,2
8,2020-03-04,3
9,2020-03-05,7
10,2020-03-06,13
11,2020-03-07,19
12,2020-03-08,25
13,2020-03-09,25
14,2020-03-10,34
15,2020-03-11,52
16,2020-03-12,77
17,2020-03-13,98
18,2020-03-14,121
19,2020-03-15,200
20,2020-03-16,234
21,2020-03-17,290
22,2020-03-18,424
23,2020-03-19,615
24,2020-03-20,893
25,2020-03-21,1110
26,2020-03-22,1521
27,2020-03-23,1857
28,2020-03-24,2155
29,2020-03-25,2376
30,2020-03-26,2838
31,2020-03-27,3325
32,2020-03-28,3789
33,2020-03-29,4120
34,2020-03-30,4420
35,2020-03-31,5516
36,2020-04-01,6593
37,2020-04-02,7611
38,2020-04-03,8697
39,2020-04-04,9846
40,2020-04-05,10644
41,2020-04-06,11503
42,2020-04-07,13050
43,2020-04-08,15127
44,2020-04-09,16916
45,2020-04-10,18582
46,2020-04-11,19603
47,2020-04-12,20946
48,2020-04-13,22102
49,2020-04-14,23730
50,2020-04-15,26584
51,2020-04-16,28501
52,2020-04-17,31541
53,2020-04-18,34252
54,2020-04-19,14062
55,2020-04-20,15015
56,2020-04-21,16013
57,2020-04-22,17533
58,2020-04-23,19606
59,2020-04-24,21670
60,2020-04-25,25333
61,2020-04-26,27531
62,2020-04-27,30816
63,2020-04-28,34325
64,2020-04-29,38564
65,2020-04-30,43544
66,2020-05-01,46931
67,2020-05-02,48735
68,2020-05-03,51131
69,2020-05-04,55273
70,2020-05-05,58573
71,2020-05-06,65313
72,2020-05-07,70610
73,2020-05-08,76136
74,2020-05-09,83627
75,2020-05-10,86619
76,2020-05-11,89428
77,2020-05-12,92592
78,2020-05-13,97401
79,2020-05-14,109446
80,2020-05-15,118436
81,2020-05-16,127837
82,2020-05-17,130840
83,2020-05-18,136969
84,2020-05-19,146863
85,2020-05-20,156037
86,2020-05-21,164080
87,2020-05-22,174414
88,2020-05-23,182798
89,2020-05-24,190634
90,2020-05-25,197592
91,2020-05-26,208117
92,2020-05-27,219576
93,2020-05-28,233880
94,2020-05-29,247812
95,2020-05-30,268714
96,2020-05-31,278331
97,2020-06-01,285430
98,2020-06-02,300546
99,2020-06-03,312851
100,2020-06-04,325957
101,2020-06-05,343805
102,2020-06-06,359767
103,2020-06-07,371351
104,2020-06-08,380238
105,2020-06-09,390033
106,2020-06-10,407341
107,2020-06-11,416314
108,2020-06-12,421919
109,2020-06-13,428549
110,2020-06-14,435800
111,2020-06-15,432060
112,2020-06-16,436219
113,2020-06-17,445393
114,2020-06-18,448292
115,2020-06-19,476759
116,2020-06-20,496869
117,2020-06-21,485035
118,2020-06-22,483550
119,2020-06-23,479916
120,2020-06-24,484893
121,2020-06-25,499414
122,2020-06-26,521487
123,2020-06-27,540692
124,2020-06-28,552673
125,2020-06-29,552419
126,2020-06-30,552407
127,2020-07-01,561255
128,2020-07-02,582158
129,2020-07-03,607535
130,2020-07-04,636380
131,2020-07-05,631902
132,2020-07-06,630505
133,2020-07-07,624871
134,2020-07-08,624295
135,2020-07-09,632552
136,2020-07-10,651666
137,2020-07-11,667508
138,2020-07-12,669377
139,2020-07-13,657297
140,2020-07-14,643483
141,2020-07-15,635818
142,2020-07-16,639135
143,2020-07-17,647441
144,2020-07-18,653726
145,2020-07-19,647672
146,2020-07-20,1425921
147,2020-07-21,612197
148,2020-07-22,612605
149,2020-07-23,633156
150,2020-07-24,665847
151,2020-07-25,690584
152,2020-07-26,697813
153,2020-07-27,687090
154,2020-07-28,673092
155,2020-07-29,675378
156,2020-07-30,694744
157,2020-07-31,725959
158,2020-08-01,748585
159,2020-08-02,755896
160,2020-08-03,743334
161,2020-08-04,735335
162,2020-08-05,739720
163,2020-08-06,732803
164,2020-08-07,794476
165,2020-08-08,817642
166,2020-08-09,815913
167,2020-08-10,791906
168,2020-08-11,763480
169,2020-08-12,751107
170,2020-08-13,762773
171,2020-08-14,784695
