,date,cases,deaths,recovered,monitoring,active
0,2020-02-25,0,0,0,0,0
1,2020-02-26,1,0,0,0,1
2,2020-02-27,1,0,0,0,1
3,2020-02-28,1,0,0,0,1
4,2020-02-29,2,0,0,0,2
5,2020-03-01,2,0,0,0,2
6,2020-03-02,2,0,0,0,2
7,2020-03-03,2,0,0,0,2
8,2020-03-04,3,0,0,0,3
9,2020-03-05,7,0,0,0,7
10,2020-03-06,13,0,0,0,13
11,2020-03-07,19,0,0,0,19
12,2020-03-08,25,0,0,0,25
13,2020-03-09,25,0,0,0,25
14,2020-03-10,34,0,0,0,34
15,2020-03-11,52,0,0,0,52
16,2020-03-12,77,0,0,0,77
17,2020-03-13,98,0,0,0,98
18,2020-03-14,121,0,0,0,121
19,2020-03-15,200,0,0,0,200
20,2020-03-16,234,0,0,0,234
21,2020-03-17,291,1,0,0,290
22,2020-03-18,428,4,0,0,424
23,2020-03-19,621,6,0,0,615
24,2020-03-20,904,11,0,0,893
25,2020-03-21,1128,18,0,0,1110
26,2020-03-22,1546,25,0,0,1521
27,2020-03-23,1891,34,0,0,1857
28,2020-03-24,2201,46,0,0,2155
29,2020-03-25,2433,57,0,0,2376
30,2020-03-26,2915,77,0,0,2838
31,2020-03-27,3417,92,0,0,3325
32,2020-03-28,3903,114,0,0,3789
33,2020-03-29,4256,136,0,0,4120
34,2020-03-30,4579,159,0,0,4420
35,2020-03-31,5717,201,0,0,5516
36,2020-04-01,6834,241,0,0,6593
37,2020-04-02,7910,299,0,0,7611
38,2020-04-03,9056,359,0,0,8697
39,2020-04-04,10278,432,0,0,9846
40,2020-04-05,11130,486,0,0,10644
41,2020-04-06,12056,553,0,0,11503
42,2020-04-07,13717,667,0,0,13050
43,2020-04-08,15927,800,0,0,15127
44,2020-04-09,17857,941,0,0,16916
45,2020-04-10,19638,1056,0,0,18582
46,2020-04-11,20727,1124,0,0,19603
47,2020-04-12,22169,1223,0,0,20946
48,2020-04-13,23430,1328,0,0,22102
49,2020-04-14,25262,1532,0,0,23730
50,2020-04-15,28320,1736,0,0,26584
51,2020-04-16,30425,1924,0,0,28501
52,2020-04-17,33682,2141,0,0,31541
53,2020-04-18,36599,2347,0,0,34252
54,2020-04-19,38654,2462,22130,14062,14062
55,2020-04-20,40581,2575,22991,15015,15015
56,2020-04-21,43079,2741,24325,16013,16013
57,2020-04-22,45757,2906,25318,17533,17533
58,2020-04-23,49492,3313,26573,19606,19606
