,date,count
0,2020-02-25,0
1,2020-02-26,0
2,2020-02-27,0
3,2020-02-28,0
4,2020-02-29,0
5,2020-03-01,0
6,2020-03-02,0
7,2020-03-03,0
8,2020-03-04,0
9,2020-03-05,0
10,2020-03-06,0
11,2020-03-07,0
12,2020-03-08,0
13,2020-03-09,0
14,2020-03-10,0
15,2020-03-11,0
16,2020-03-12,0
17,2020-03-13,0
18,2020-03-14,0
19,2020-03-15,0
20,2020-03-16,0
21,2020-03-17,1
22,2020-03-18,4
23,2020-03-19,6
24,2020-03-20,11
25,2020-03-21,18
26,2020-03-22,25
27,2020-03-23,34
28,2020-03-24,46
29,2020-03-25,57
30,2020-03-26,77
31,2020-03-27,92
32,2020-03-28,114
33,2020-03-29,136
34,2020-03-30,159
35,2020-03-31,201
36,2020-04-01,241
37,2020-04-02,299
38,2020-04-03,359
39,2020-04-04,432
40,2020-04-05,486
41,2020-04-06,553
42,2020-04-07,667
43,2020-04-08,800
44,2020-04-09,941
45,2020-04-10,1056
46,2020-04-11,1124
47,2020-04-12,1223
48,2020-04-13,1328
49,2020-04-14,1532
50,2020-04-15,1736
51,2020-04-16,1924
52,2020-04-17,2141
53,2020-04-18,2347
54,2020-04-19,2462
55,2020-04-20,2575
56,2020-04-21,2741
57,2020-04-22,2906
58,2020-04-23,3313
59,2020-04-24,3670
60,2020-04-25,4016
61,2020-04-26,4205
62,2020-04-27,4543
63,2020-04-28,5017
64,2020-04-29,5466
65,2020-04-30,5901
66,2020-05-01,6329
67,2020-05-02,6724
68,2020-05-03,7025
69,2020-05-04,7321
70,2020-05-05,7921
71,2020-05-06,8535
72,2020-05-07,9146
73,2020-05-08,9895
74,2020-05-09,10627
75,2020-05-10,11123
76,2020-05-11,11519
77,2020-05-12,12400
78,2020-05-13,13149
79,2020-05-14,13993
80,2020-05-15,14817
81,2020-05-16,15633
82,2020-05-17,16118
83,2020-05-18,16792
84,2020-05-19,17971
85,2020-05-20,18859
86,2020-05-21,20047
87,2020-05-22,21046
88,2020-05-23,22013
89,2020-05-24,22666
90,2020-05-25,23473
91,2020-05-26,24512
92,2020-05-27,25598
93,2020-05-28,26754
94,2020-05-29,27878
95,2020-05-30,28834
96,2020-05-31,29314
97,2020-06-01,29937
98,2020-06-02,31199
99,2020-06-03,32548
100,2020-06-04,34021
101,2020-06-05,35026
102,2020-06-06,35930
103,2020-06-07,36455
104,2020-06-08,37134
105,2020-06-09,38406
106,2020-06-10,39680
107,2020-06-11,40919
108,2020-06-12,41828
109,2020-06-13,42720
110,2020-06-14,43332
111,2020-06-15,43959
112,2020-06-16,45241
113,2020-06-17,46510
114,2020-06-18,47748
115,2020-06-19,48954
116,2020-06-20,49976
117,2020-06-21,50617
118,2020-06-22,51271
119,2020-06-23,52645
120,2020-06-24,53830
121,2020-06-25,54971
122,2020-06-26,55961
123,2020-06-27,57070
124,2020-06-28,57622
125,2020-06-29,58314
126,2020-06-30,59594
127,2020-07-01,60632
128,2020-07-02,61884
129,2020-07-03,63174
130,2020-07-04,64265
131,2020-07-05,64867
132,2020-07-06,65487
133,2020-07-07,66741
134,2020-07-08,67964
135,2020-07-09,69184
136,2020-07-10,70398
137,2020-07-11,71469
138,2020-07-12,72100
139,2020-07-13,72833
140,2020-07-14,74133
141,2020-07-15,75366
142,2020-07-16,76688
143,2020-07-17,77851
144,2020-07-18,78772
145,2020-07-19,79488
146,2020-07-20,80120
147,2020-07-21,81487
148,2020-07-22,82771
149,2020-07-23,84082
150,2020-07-24,85238
151,2020-07-25,86449
152,2020-07-26,87004
153,2020-07-27,87618
154,2020-07-28,88539
155,2020-07-29,90134
156,2020-07-30,91263
157,2020-07-31,92475
158,2020-08-01,93563
159,2020-08-02,94104
160,2020-08-03,94665
161,2020-08-04,95819
162,2020-08-05,97240
163,2020-08-06,98493
164,2020-08-07,99572
165,2020-08-08,100477
166,2020-08-09,101049
167,2020-08-10,101752
168,2020-08-11,103026
169,2020-08-12,104201
170,2020-08-13,105463
171,2020-08-14,106523
